Q,a95,Com,Formation,Lat,Lon,CLat,CLon,RLat,RLon,EULER,Age,GPDB RefNo/Reference,Block
4,6.9,,"Tornetrask Formation/Dividal Group, Sweden",58.4,122.5,68.7,102.2,,,,535,Rehnström and Torsvik (2003),"Stable “Europe” (301, 302, 401 from 250 Myr)"
3,10,,"El Loa Formation and associated ignimbrites, Chile",-85.4,303.8,,,-85.5,-37.4,(62.1/− 40.5/2.8),8.5,"3323, T","Amazonia (S America, 201)"
3,10,,"Lipiyoc Formation, Puna, Argentina",-85.7,80.5,,,-84.6,75.6,(62.1/− 40.5/2.8),8.5,"3027, T","Amazonia (S America, 201)"
5,11.4,,"Remedios, Sao Jose formations, Fernando de Noronha, Brazil",-84.5,316,,,-84.4,-26.3,(62/− 40.6/3.1),9.5,"1404, T","Amazonia (S America, 201)"
5,5.9,,"Itatiaia and Passa Quatro Complexes, Brazil",-79.5,0,,,-69.6,46.8,(63.5/− 33.4/26.2),70.5,"3261, T","Amazonia (S America, 201)"
6,2.6,,"Pocos de Caldas Alkaline Complex, Brazil",-83.2,320.1,,,-71.8,48.8,(61.6/− 34.3/33.8),84,"3261, T","Amazonia (S America, 201)"
5,4.2,,"Sao Sabastiao Island Intrusions, Brazil",-79.4,331.9,,,-67.5,44.3,(61.2/− 34.3/34.4),85,"3261, T","Amazonia (S America, 201)"
3,4.8,,"Intrusives, Cabo de Santo Agostinho, Brazil",-87.6,315.1,,,-69.5,65.2,(58.2/− 34.6/38.7),92,"1448, T","Amazonia (S America, 201)"
4,3,,"Cabo Magmatic Province, Brazil",-87.9,335.9,,,-63.5,69.8,(54.9/− 34.8/44.9),102,Font et al. (2009),"Amazonia (S America, 201)"
4,2.8,,"East Maranhao intrusives, Brazil",-83.6,81,,,-53.7,84.1,(51.8/− 35/52.4),118,"1431, T","Amazonia (S America, 201)"
6,2.6,,"Florianopolis dyke swarm, Santa Catarina Island, Brazil",-89.1,3.3,,,-56.3,76.3,(51/− 34.3/53.6),123.5,"3190, T","Amazonia (S America, 201)"
6,2,,"Ponta Grossa dykes, Brazil",-82.4,30.3,,,-48.1,77.9,(50.1/− 32.8/54.8),130,"2958, T","Amazonia (S America, 201)"
6,2.4,,"Northeast Parana Magmatic Province Combined, Brazil",-83,71.4,,,-49.6,85.6,(50/− 32.5/55.1),132,3422,"Amazonia (S America, 201)"
4,14.1,,"Dykes, Rio Grande do Norte, Brazil",-80.6,275,,,-59.3,63.3,(50/− 32.5/55.1),146,"1509, T","Amazonia (S America, 201)"
3,9.3,,"West Maranhao Basalts, Brazil",-85.3,262.5,,,-58.5,72.7,(50/− 32.5/55.1),175,"1431, T","Amazonia (S America, 201)"
5,3.8,,"Anari and Tapirapua Formations, Brazil",-65.5,250.3,,,-70.6,34.3,(50/− 32.5/55.1),196.6,"3316, T","Amazonia (S America, 201)"
5,4,,"French Guyana dikes, Brazil",-81.2,235.1,,,-63.6,72.7,(50/− 32.5/55.1),198,3378,"Amazonia (S America, 201)"
4,4.9,,"Bolivar dykes, Venezuela",-66.9,245.6,,,-71.9,40.3,(50/− 32.5/55.1),202.5,"150, T","Amazonia (S America, 201)"
4,10,,"Dolerite dykes, Suriname",-82,320,,,-52.7,66.4,(50/− 32.5/55.1),232,"701, T","Amazonia (S America, 201)"
6,6,,"Mitu Group red beds, Peru",-71.4,303.6,-60,294.1,-50.4,29.1,(50/− 32.5/55.1),248.5,"3524, T","Amazonia (S America, 201)"
6,6.6,,Independencia Group,-80.7,7,-70.7,325.5,-45.5,52.9,(50/− 32.5/55.1),260,Rapalini et al. (2006),"Amazonia (S America, 201)"
4,4.5,,"Copacabana Group sediments, Peru",-68.2,321.3,-56.1,305.2,-43.4,29.2,(50/− 32.5/55.1),280,Rakotosolofo et al. (2006),"Amazonia (S America, 201)"
4,4.1,,"Santa Fe Group, Brazil",-65.7,330.9,-53.2,324,-33.7,36,(50/− 32.5/55.1),300,Brandt et al. (2009),"Amazonia (S America, 201)"
3,11.2,,"Itarare Subgroup, Tubarao Group, Brazil",-57,357,-48.3,338.2,-24.3,41.3,(50/− 32.5/55.1),310,"798, T","Amazonia (S America, 201)"
3,6,,"Rio de Los Molinos dykes 1, Cordoba, Argentina",-77,18,,,-66.8,52.3,(63.9/− 33.6/24.7),65.5,"102, T","Parana (S America, 202)"
4,3.7,,"Serra Geral basalts, Brazil",-84.6,115.4,,,-57,86.1,(51.7/− 35/52.6),119,"765, T","Parana (S America, 202)"
3,10.4,,"Vulcanitas Cerro Colorado Formation, Cordoba, Argentina",-81,14,,,-49.2,71.8,(51.5/− 34.9/53),121,"123, T","Parana (S America, 202)"
5,5.9,,"El Salto–Almafuerte lavas, Cordoba, Argentina",-72,25,,,-39.1,73.6,(50.9/− 34.2/53.7),124,"1087, T","Parana (S America, 202)"
3,11,,"Rio de Los Molinos dykes 2, Cordoba, Argentina",-79,8,,,-43,71.3,(47.5/− 33.3/56.1),139.5,"102, T","Parana (S America, 202)"
3,18.1,,"Sierra de las Animas volcanic Complex, Uruguay",5.9,338.1,,,24.1,12.1,(47.6/− 33.3/56.2),510,3513,"Parana (S America, 202)"
4,8,,"Pirgua basalts and red beds, Argentina",-85,222,,,-73,71.4,(56.9/− 34.7/40.9),95.5,"1131, T","Colorado (S America, 290)"
5,8.7,,"Marifil Formation, North Patagonia, Argentina",-83,138,,,-53.3,90.1,(47.5/− 33.3/57.3),183,"3535, T","Colorado (S America, 290)"
6,4.5,,Mendoza–Neuquen sediments and volcanics,-74,67,,,-38.1,89.4,(47.5/− 33.3/57.3),183,Iglesia-Llanos et al. (2006),"Colorado (S America, 290)"
5,6.8,,Lepa-Osta Arena Formation,-75.5,129.4,,,-51,102,(47.5/− 33.3/57.3),187,3314,"Colorado (S America, 290)"
6,4.5,,Mendoza sediments and volcanics,-51,223,,,-84.7,-21.3,(47.5/− 33.3/57.3),195,Iglesia-Llanos et al. (2006),"Colorado (S America, 290)"
4,7.6,,Los Colorados Mendoza,-81.8,298.3,,,-52.4,65.2,(47.5/− 33.3/57.3),216,Vizán et al. (2004),"Colorado (S America, 290)"
4,7,,"Amana Formation, Paganzo Group, Argentina",-83,317,-69.1,298.5,-49.7,45.5,(47.5/− 33.3/57.3),240,"1132, T","Colorado (S America, 290)"
6,6.4,,"Puesto Viejo Formation Volcanics, Mendoza",-76,313.4,,,-48.1,57.7,(47.5/− 33.3/57.3),240,Domeier et al. (2011c),"Colorado (S America, 290)"
6,4.9,,"Puesto Viejo Formation Sediments, Mendoza",-89.2,346.1,-75.1,293.5,-52.6,54.2,(47.5/− 33.3/57.3),240,Domeier et al. (2011c),"Colorado (S America, 290)"
6,3.3,,"Sierra Chica, La Pampa",-80.1,348.6,,,-44.9,68.6,(47.5/− 33.3/57.3),263,Domeier et al. (2011b),"Colorado (S America, 290)"
6,4.1,,"Upper Choiyoi Group, Mendoza",-75.7,326,,,-45.3,59.5,(47.5/− 33.3/57.3),264,Domeier et al. (2011c),"Colorado (S America, 290)"
4,5.2,,"Tambillos, Uspallate Basin, Argentina",-80.6,308.3,,,-50.7,63.7,(47.5/− 33.3/57.3),267,2475,"Colorado (S America, 290)"
4,2.8,,"La Colina Formation, Paganzo",-80.6,268.8,-66.7,285.5,-53.7,39.6,(47.5/− 33.3/57.3),283,Geuna and Escosteguy (2004),"Colorado (S America, 290)"
3,2.5,,"Middle Paganzo II, Los Colorados Lower Beds, Argentina",-59.5,357.5,-55.2,332.3,-29.2,43.2,(47.5/− 33.3/57.3),283,"620, T","Colorado (S America, 290)"
3,3.1,,"La Colina Formation, Los Colorados 1, Argentina",-74,313,-60.9,301.3,-45.1,35.2,(47.5/− 33.3/57.3),283,"166, T","Colorado (S America, 290)"
4,4.9,,"Rio del Penon Formation sediments, Argentina",-76.8,293.7,-62.4,292.2,-49.6,34.4,(47.5/− 33.3/57.3),290,Geuna and Escosteguy (2004),"Colorado (S America, 290)"
4,7,,"Punta del Agua Formation volcanics, Argentina",-73.1,272.4,,,-58.4,50.8,(47.5/− 33.3/57.3),290,Geuna and Escosteguy (2004),"Colorado (S America, 290)"
3,5,,"La Colina basalt, Argentina",-66,348,,,-33.4,57.8,(47.5/− 33.3/57.3),300,"178, T","Colorado (S America, 290)"
4,5.7,,"La Tabla Formation, Chile",-51,347,,,-20.8,48.8,(47.5/− 33.3/57.3),310,"1420, T","Colorado (S America, 290)"
6,5,,"La Colina Formation, Argentina",-49,343,-45.4,323.6,-25.1,31.5,(47.5/− 33.3/57.3),310,"1144, T","Colorado (S America, 290)"
6,9.6,,"Pular and Cas formations, Chile",-57,350,,,-25.2,53.6,(47.5/− 33.3/57.3),310,"1420, T","Colorado (S America, 290)"
5,5.7,,Eocene volcanics Patagonia,-81,337.4,,,-74.4,33.2,(57.2/− 31.2/19.4),47,Somoza (2007),"Patagonia (S America, 291)"
6,4.3,,"Patagonian Plateau basalts, Chile, Argentina",-78.7,358.4,,,-68.8,45.5,(63.4/− 33.4/26.5),71.5,"2374, T","Patagonia (S America, 291)"
5,2,,"San Bernardo, Patagonia",-86.8,35.2,,,-66.7,71.5,(58.2/− 34.6/38.7),92,Somoza and Zaffarana (2008),"Patagonia (S America, 291)"
4,3.8,,"Cerro Barcino sediments, Argentina",-87,159,-77.5,283.2,-60.9,51.4,(52/− 35/52.1),116,Geuna et al. (2000),"Patagonia (S America, 291)"
5,5.5,,"Posades and Sierra Colorado ignimbrites, Argentina",-81,172,,,-57.9,90.4,(47.5/− 33.3/58),156.5,3535,"Patagonia (S America, 291)"
4,4.9,,"Chon Aike Formation, combined result, Argentina",-85,197,,,-55.8,82,(47.5/− 33.3/59.2),167,"133, T","Patagonia (S America, 291)"
5,5.2,,"Cretaceous Kimberlites 1, South Africa, Lesotho",-64.1,46.1,,,,,,90.5,"2293, T",Southern Africa (701)
6,9.7,,"Cretaceous Kimberlites 2, South Africa",-47.6,89.9,,,,,,129,"2293, T",Southern Africa (701)
5,3.1,,"Kaoko lavas, Namibia",-48.3,86.6,,,,,,132,"126, T",Southern Africa (701)
4,13.3,,"Batoka basalts, northern Zimbabwe",-64,80.6,,,,,,180,"T, Jones et al. (2001)",Southern Africa (701)
3,15.8,,"Hoachanas lavas, Namibia",-61.9,71.9,,,,,,183,"126, T",Southern Africa (701)
5,3.2,,"Stormberg lavas (Lesotho basalts), South Africa",-71.6,93.5,,,,,,183,"3090, T",Southern Africa (701)
4,11,,"Stormberg lavas, Sani Pass and Maseru, Lesotho",-70.5,88.7,,,,,,183,"984, T",Southern Africa (701)
3,7,,"Karroo lavas, Central Africa, Zimbabwe, Mozambique",-57,84,,,,,,183,"635, T",Southern Africa (701)
5,9.5,,"Karroo dolerites combined, South Africa, Zimbabwe",-65.4,75.1,,,,,,183,"317, T",Southern Africa (701)
5,8.7,,"Marangudzi Ring Complex, Zimbabwe",-70.7,106.7,,,,,,186,"470, T",Southern Africa (701)
3,4.6,,"Red sandstone Formation, Zambia",-68,50.5,-54.7,39.5,,,,221.5,"323, T",Southern Africa (701)
3,6,,"Cassanje Series, Angola",-54,80,-49,62.6,,,,248.5,"1960, T",Southern Africa (701)
5,7.6,,Karroo Basin,-50.9,86.3,-48,63.8,,,,251,De Kock and Kirschvink (2004),Southern Africa (701)
6,5.6,,"K1 Dwyka Varves, Zimbabwe, Zambia, Tanzania",-26.5,26.5,-21.6,27.7,,,,281.5,"435, T",Southern Africa (701)
6,12,,Dwyka Group combined,-25,67,-25.2,53.6,,,,315,"3489, T",Southern Africa (701)
4,7,,"Bokkeveld Group, Cape Province, South Africa",10,15,-3.3,16,,,,398.5,"1416, TV",Southern Africa (701)
5,18,,"Pakhuis, Cedarberg Formations, Cape Province, South Africa",25,343,17,-11,,,,446.5,"1416, TV",Southern Africa (701)
6,9,,"Graafwater Formation, Cape Province, South Africa",28,14,13.9,13.8,,,,482.5,"1416, TV",Southern Africa (701)
4,14,,"Intrusives, Beni Mellal, Morocco",-46,78,,,,,,120,"1859, T",Meseta (707)
6,9,,"Beni Mellal volcanics, Morocco",-44,71,,,-42.6,73.6,(33.6/26/2.3),173.5,"148, TV",Meseta (707)
4,11,,"Beni Mellal basalts, Morocco",-45,68,,,-43.7,70.7,(33.6/26/2.3),173.5,"1859, T",Meseta (707)
5,6,,Argana Flows. Morocco,-69.2,55.5,,,-68.2,61,(33.6/26/2.3),201,Ruiz-Martinez et al. (2012),Meseta (707)
3,7,,"Morrocan Intrusives, Morocco",-71,36,,,-70.5,42.7,(33.6/26/2.3),201,"148, T",Meseta (707)
5,19,,"Central Atlantic Magmatic Province, Morocco",-73,61.3,,,-71.8,67.4,(33.6/26/2.3),201,"T, Knight et al. (2004)",Meseta (707)
3,4.6,,"Taztot Trachyandesite, Morocco",-38.7,56.8,,,-37.7,59.4,(33.6/26/2.3),273,"723, T",Meseta (707)
5,4.7,,"Chougrane red beds, Morocco",-32.2,64.1,-33.4,66,-32.1,68.3,(33.6/26/2.3),273,"723, T",Meseta (707)
3,7.8,,"Djebel Tarhat red beds, Morocco",-24,63.8,-23.3,62.3,-22.1,64.3,(33.6/26/2.3),273,"1080, T",Meseta (707)
3,20.9,,"Volcanics, Mechra ben Abou and Chougrane, Morocco",-36,58,,,-34.9,60.5,(33.6/26/2.3),280.5,"1859, T",Meseta (707)
3,4.1,,"Afar Stratoid Series, Ethiopia",-87.5,359.3,,,-87.5,-2.3,(52.4/6.3/−.1),1,"3336, T",Somalia (709)
3,5.7,,"Stratoid Basalts, Ethiopian Afar, Ethiopia",-87.2,37.1,,,-87.3,34.3,(50.2/6.5/−.2),2,"3559, T",Somalia (709)
3,4.1,,"Gamarri section lavas, Afar Depression, Ethiopia",-79.7,350.2,,,-79.6,-11,(50.3/6.4/−.3),2.5,"3234, T",Somalia (709)
5,3.8,,"Ngorora Formation, Kenya",-85.7,75.8,-84.4,65.5,-85.1,59.6,(50.4/6.4/− 1.3),11.5,"3111, T",Somalia (709)
4,8.8,,"East African volcanics, Kenya and Tanzania",-86.5,6.6,,,-86.4,-7.5,(50.4/6.4/− 1.3),12,"774, T",Somalia (709)
3,10,,"Volcanics, Kenya",-80.1,214.2,,,-79.7,-142.7,(50.3/6.4/− 1.3),13.5,"1517, T",Somalia (709)
5,3.1,,"Turkana Lavas, Kenya",-84.6,343.3,,,-84.2,-25.5,(50.4/6.4/− 1.3),17,"774, T",Somalia (709)
4,8.4,,"Southern Plateau volcanics, Ethiopia",-75.1,350.3,,,-74.8,-14.2,(50.3/6.4/− 1.5),34,"2764, T",Somalia (709)
4,3,,"Lupata series volcanics, Mozambique",-61.8,79.5,,,-62.7,77.8,(50.3/6.4/− 1.5),111,"992, T",Somalia (709)
3,9.3,,"Mlanje Massif syenite, Malawi",-60,82,,,-60.9,80.4,(50.3/6.4/− 1.5),124.5,"401, T",Somalia (709)
3,5,,"K3 beds, Galula coalfield, Tanzania",-46,40,-33.3,36.9,-33.7,35.2,(50.3/6.4/− 1.5),257,"324, T",Somalia (709)
5,1.9,,"Ntonya Ring Structure, Malawi",27.5,344.8,,,27.8,-15.9,(50.3/6.4/− 1.5),522,"404, TV",Somalia (709)
4,5,,"Sinyai dolerite, Kenya",-28.4,319.1,,,-27.7,-42.4,(50.3/6.4/− 1.5),547,"3106, TV",Somalia (709)
4,6.7,,"Famara Volcanics, Canary Islands",-87.5,358.2,,,,,,7.5,"2938, T",Northwest Africa (714)
3,5.2,,"Basalt Series II, Canary Islands",-77.8,326.2,,,,,,8,"1493, T",Northwest Africa (714)
4,4.1,,"Miocene volcanics, Canary Islands",-81.9,294.4,,,,,,13,"25, T",Northwest Africa (714)
3,2.3,,"Massif de Cavallo, Algeria",-86.8,202.9,,,,,,13,"555, T",Northwest Africa (714)
5,8,,"Basalt Series I, Canary Islands",-72,71.2,,,,,,81,"1493, T",Northwest Africa (714)
6,6.3,,"Upper Jurassic sediments, Tunisia",-65.2,20.3,,,-65.3,25.8,(33.6/26/2.3),152.5,"1167, T",Northwest Africa (714)
3,19.2,,"Intrusive rocks, Nigeria",-62.5,61.6,,,-61.3,65.8,(33.6/26/2.3),160,"1081, T",Northwest Africa (714)
5,7.4,,"Diabase dykes and sills, Liberia",-68.5,62.4,,,-67.3,67.4,(33.6/26/2.3),185.5,"140, T",Northwest Africa (714)
4,4.1,,"Hank volcanics, North Mauritania",-69.4,52,,,-68.5,57.7,(33.6/26/2.3),187,"3259, T",Northwest Africa (714)
4,6.1,,"Hodh volcanics, South Mauritania",-71.4,60.2,,,-70.2,66,(33.6/26/2.3),187,"3260, T",Northwest Africa (714)
4,6.2,,"Freetown Complex, Sierra Leone",-82.9,32.7,,,-82.4,48.7,(33.6/26/2.3),193,"3287, T",Northwest Africa (714)
5,4.1,,"Ighrem and Foum Zguid dykes, Morocco",-73,64.7,,,-71.7,70.6,(33.6/26/2.3),200,Palencia-Ortas et al. (2011),Northwest Africa (714)
6,2.6,,"Zarzaitine Formation, Algeria",-70.9,55.1,-76.2,78.9,-74.6,84.4,(33.6/26/2.3),206.5,"2932, T",Northwest Africa (714)
5,6,,"Serie d'Abadla, Upper Unit, Morocco",-29,60,-26.8,56.5,-25.7,58.6,(33.6/26/2.3),273,"1459, T",Northwest Africa (714)
5,3.6,,"Abadla Formation, Lower Unit, Algeria",-29.1,57.8,-26.3,54.2,-25.4,56.3,(33.6/26/2.3),275,"3275, T",Northwest Africa (714)
5,2.8,,"Upper El Adeb Larache Formation, Algeria",-38.5,57.5,-33.7,52.4,-32.8,54.8,(33.6/26/2.3),286.5,"2540, T",Northwest Africa (714)
4,4.1,,"Lower Tiguentourine Formation, Algeria",-33.8,61.4,-29,55.5,-28,57.7,(33.6/26/2.3),290,"2728, T",Northwest Africa (714)
5,3.5,,"Lower El Adeb Larache Formation, Algeria",-28.7,55.8,-20.9,48.3,-20.1,50.3,(33.6/26/2.3),307,"2540, T",Northwest Africa (714)
6,4.6,,"Illizi Basin sediments, Algeria",-28.3,58.9,-21.1,51.5,-20.2,53.4,(33.6/26/2.3),309,"3484, T",Northwest Africa (714)
5,2.6,,"Reggane Basin, Harsi Bachir Formation, Algeria",-32.8,55.7,-27.8,49.9,-27,52.1,(33.6/26/2.3),310,Derder et al. (2009),Northwest Africa (714)
4,4.5,,"Oubarakat and El-Adeb Larache Formations, Algeria",-28.2,55.5,-20.3,47.8,-19.6,49.8,(33.6/26/2.3),317,"3481, T",Northwest Africa (714)
7,5.3,,"Reggane Basin, Algeria",-26.6,44.7,-17.5,36.2,-17.1,38.1,(33.6/26/2.3),320,"3402, T",Northwest Africa (714)
5,5.9,,Tin Serrinine Basin intrusions,-18.8,31.2,,,-18.6,33.2,(33.6/26/2.3),348,Derder et al. (2006).,Northwest Africa (714)
5,3.7,,"Griotte limestones, Algeria",-21,19.9,,,-21.2,21.9,(33.6/26/2.3),365,"2725, TV",Northwest Africa (714)
6,3.7,,"Ben-Zireg limestones, Algeria",-19.2,19.8,,,-19.4,21.8,(33.6/26/2.3),365,"2521, TV",Northwest Africa (714)
5,6.6,,"Air intrusives, Niger",-43.4,8.6,,,-43.9,11.7,(33.6/26/2.3),409,"1364, TV",Northwest Africa (714)
5,2.5,,Main Ethiopian Rift basalts,-87.6,346.9,,,,,,1.5,Kidane et al. (2006),Northeast Africa (715)
5,3.1,,"Hadar Basin, Ethiopia",-84.9,127.9,,,,,,3,Dupont-Nivet et al. (2008a),Northeast Africa (715)
5,7.4,,South Holhol–Djibouti,-86.1,336.5,,,,,,4,Audin et al. (2004),Northeast Africa (715)
5,11.2,,"Volcanics, Jebel Soda, Libya",-69,4,,,,,,11.5,"60, T",Northeast Africa (715)
5,8.3,,"Volcanics, Jebel Soda, Libya",-78.4,16.1,,,,,,11.5,"50, T",Northeast Africa (715)
5,2.6,,"Blue Clay Formation, Malta",-73,0.5,-83.2,341.7,,,,13.5,Abels et al. (2005),Northeast Africa (715)
4,12.7,,"Ethiopian Flood basalts, Abbay and Kessen gorges, Ethiopia",-83,13.3,,,,,,26.5,"3496, T",Northeast Africa (715)
6,6,,"Qatrani Formation, Egypt",-79.6,332.2,-79.5,258.6,,,,29,"3280, T",Northeast Africa (715)
5,5.4,,"Ethiopian Traps, Ethiopia",-77.9,32.8,,,,,,30,"3209, T",Northeast Africa (715)
5,6.4,,"Iron ores combined, Baharia Oasis, Egypt",-83.5,318.6,,,,,,37,"1500, T",Northeast Africa (715)
6,4,,"Fayum Province, Egypt",-71,340,-76.5,308.4,,,,37.5,Lotfy and van der Voo (2007),Northeast Africa (715)
6,4.2,,"Mokattam limestone, Egypt",-78.1,342.8,,,,,,42.5,"3280, T",Northeast Africa (715)
6,6,,"Fayum Province, Egypt",-68,338,-73,314.8,,,,44.5,Lotfy and van der Voo (2007),Northeast Africa (715)
3,5.8,,"Basalts, Wadi Abu Tereifiya, Egypt",-69.4,9.4,,,,,,44.5,"1141, T",Northeast Africa (715)
5,8.5,,"Wadi Natash volcanics, Egypt",-69.3,78.1,,,-69.4,78.3,(39.9/− 61.4/−.2),93,"1500, T",Northeast Africa (715)
3,18.1,,"Wadi Natash volcanics, Egypt",-75.7,48.3,,,-75.9,48.4,(40.1/− 61.4/−.2),94.5,"3260, T",Northeast Africa (715)
3,11.5,,"Upper Triassic Sediments, Southern Tunisia",-54.9,43.3,-59.7,27,-60.2,26.5,(40.5/− 61.4/−.7),221.5,"3020, T",Northeast Africa (715)
4,5.5,,"Al Azizia Formation, Kaf Bates, Libya",-54.5,45.8,,,-55,45.6,(40.5/− 61.4/−.7),231,"3408, T",Northeast Africa (715)
5,3.8,,"Al Azizia Formation, Al Azizia, Libya",-59.3,34.1,,,-59.8,33.7,(40.5/− 61.4/−.7),231,"3408, T",Northeast Africa (715)
4,6,,"Jebel Nehoud Ring Complex, Kordofan, Sudan",-40.8,71.3,,,-41.2,71.2,(40.4/− 61.4/−.7),280,"3504, T",Northeast Africa (715)
3,10.8,,"Gilif Hills volcanics, Bayuda Desert, Sudan",25.9,11.6,,,25.4,11.2,(40.4/− 61.4/−.7),377,"2189, TV",Northeast Africa (715)
6,9.2,,"Salala Ring Complex, Sudan",39.6,329.5,,,39.3,-30.6,(40.4/− 61.4/−.7),463,"2715, TV",Northeast Africa (715)
4,5.4,,"Mount Pavagarh Traps, Gujrat, India",-39.2,105.6,,,-73.4,66.6,(18.8/22.6/− 39.2),64,"94, T",India–Pakistan (501)
6,5.7,,Mahabeleshwar Plateau lavas,-39,100.8,,,-72,54.5,(19/21.9/− 40.2),65,Jay et al. (2009),India–Pakistan (501)
4,6.7,,"Deccan Traps, Mahabaleshwar, India",-40,96,,,-70.6,42.6,(19.2/21.5/− 40.7),65.5,"107, T",India–Pakistan (501)
6,5.9,,"Deccan Traps, Nagpur to Bombay traverse, India",-38.4,102.4,,,-72.7,57.9,(19.2/21.5/− 40.7),65.5,"393, T",India–Pakistan (501)
3,3.8,,"Deccan Traps, Western Ghats, India",-34.5,103.6,,,-69.8,66.8,(19.2/21.5/− 40.7),65.5,"705, T",India–Pakistan (501)
5,9.4,,"Deccan dyke swarms, western India",-37.2,100.5,,,-70.8,56.2,(19.2/21.5/− 40.7),65.5,"3094, T",India–Pakistan (501)
3,3.8,,"Deccan Traps, Jalna, India",-39,99,,,-71.5,49.9,(19.2/21.5/− 40.7),65.5,"686, T",India–Pakistan (501)
4,10.1,,"Central Kerala dykes, India",-34.6,94,,,-67.6,42.9,(20.2/19.3/− 43.8),69,"2754, T",India–Pakistan (501)
4,12,,"Central Kerala gabbro dyke, India",-21.6,119.4,,,-74.9,73.7,(19.8/27.2/− 59.2),88,"2754, T",India–Pakistan (501)
5,7.5,,"St. Mary Islands, western India",-14.2,117.8,,,-66.7,79.4,(20.2/27.6/− 58.5),91.2,"T, Torsvik et al. (2000)",India–Pakistan (501)
3,4,,"Rajmahal Traps, West Bengal and Bihar, India",-3,118,,,-49.8,86.8,(23.4/31.3/− 53.8),116,"633, T",India–Pakistan (501)
6,3.5,,"Rajmahal Traps, Bihar, India",-7,117,,,-53.3,83.2,(23.4/31.3/− 53.8),116,"678, T",India–Pakistan (501)
6,8.3,,"Rajmahal Traps, West Bengal, India",-9.3,124.8,,,-57.6,95.2,(23.4/31.3/− 53.8),116,"2977, T",India–Pakistan (501)
4,5.5,,"Rajamahal Traps, North Rajmahal Hills, India",-6.5,120.2,,,-53.8,88.5,(23.4/31.3/− 53.8),116,"T, Tarduno et al. (2001)",India–Pakistan (501)
3,7,,"Sylhet Traps, Khasi Hills, India",-16,121,,,-63,84.4,(23.5/31.4/− 53.7),116.5,"985, T",India–Pakistan (501)
5,2.4,,"Rajmahal Traps, Bihar, India",-9.4,116.6,,,-55.1,81.1,(23.5/31.5/− 53.6),117,"3095, T",India–Pakistan (501)
5,4.6,,"Pachmarhi beds, Central India",-10.1,130.1,-2.4,118.5,-45.1,71.3,(29.8/42.1/− 60.5),206.5,"593, T",India–Pakistan (501)
4,4.6,,"Mangli Beds, Central India",7.3,124.3,12.2,110.9,-28.7,73.5,(29.8/42.1/− 60.5),243,"593, T",India–Pakistan (501)
5,6,,"Panchet clays, Karanpura Coalfields, India",7.5,120.5,13.4,109.1,-26.7,72.5,(29.8/42.1/− 60.5),248.5,"162, T",India–Pakistan (501)
6,4.3,,"Wargal and Chidru Formations, Salt Range, Pakistan",2.2,125.8,,,-44.6,83.5,(29.8/42.1/− 60.5),250.5,"2467, T",India–Pakistan (501)
3,1.8,,"Kamthi beds, Tadoba, India",4.1,102.8,10.2,94.5,-20.3,58.1,(29.8/42.1/− 60.5),250.5,"593, T",India–Pakistan (501)
6,6.5,,"Kamthi red beds, Wardha Valley, Central India",4,129,9.5,115.1,-33.2,75.8,(29.8/42.1/− 60.5),250.5,"163, T",India–Pakistan (501)
3,12.1,,"Alozai Formation, Baluchistan, Pakistan",18.1,111,,,-23.8,77,(29.8/42.1/− 60.5),289.5,"1236, T",India–Pakistan (501)
5,4.1,,"Volcanics, Syria",-82.4,62.2,,,-82.9,57.8,(36.5/18/−.8),2.5,Abou Deeb et al. (1999); Abou Deeb and Tarling (2005),Arabia (503)
5,3.4,,"Volcanics, Syria",-76,13.5,,,-75.2,-3.1,(36.5/18/− 4.5),19,Abou Deeb et al. (1999); Abou Deeb and Tarling (2005),Arabia (503)
5,3.6,,"Afro-Arabian flood volcanic province, Yemen",-74.2,69.1,,,-77.7,46.7,(35.7/20.4/− 7.1),29,Riisager et al. (2005),Arabia (503)
3,7.2,,"Abu Durba sediments, SW Sinai, Egypt",-25.6,64,-13.4,58.4,-17.7,51.5,(37.1/17.1/− 8.9),306.5,"2784, T",Arabia (503)
5,4.4,,Antanimena and Mailaka volcanics,-74,43.7,,,,,,86.5,"3481, T",Madagascar (702)
4,7.6,,"Volcanics, Massif d'Androy Andria",-64,63,,,,,,87,"547, T",Madagascar (702)
4,4.9,,"Volcanics, Antanimena Andria",-66.1,49.7,,,,,,87,"708, T",Madagascar (702)
4,4.4,,"Volcanics, Southeast Coast Andria",-65.8,35.6,,,,,,87,"708, T",Madagascar (702)
4,8.9,,"Volcanics, Mangoky–Anilahy Andria",-73.7,73.1,,,,,,87,"708, T",Madagascar (702)
5,4.3,,"Dolerites, east Madagascar",-65.5,38,,,,,,87,"3211, T",Madagascar (702)
4,6.9,,"Volcanics, Mailaka Andria",-70.3,63.1,,,,,,87,"708, T",Madagascar (702)
5,2.4,,"Volcanics, Southwest Madagascar",-76.8,68.2,,,,,,87,"3210, T",Madagascar (702)
5,10.7,,d'Analava complex,-66.7,43.5,,,,,,91,"T, Meert and Tamrat (2006)",Madagascar (702)
3,5.9,,Isalo Group,-74,97.1,-65.2,70.8,-50.9,59.5,(14.8/137.5/− 15.4),206.5,"147, T",Madagascar (702)
